,Image,Label
0,"[[29 27 30 ... 26 26 27]
 [28 27 27 ... 29 29 27]
 [27 29 28 ... 28 26 28]
 ...
 [ 0  0 26 ... 23 25 24]
 [ 0  0 26 ...  0  0  0]
 [ 0  0 29 ...  0  0  0]]",Normal
1,"[[107  58  53 ...   0   0   0]
 [112  55  55 ...   0   0   0]
 [ 87  57  53 ...   0   0   0]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
2,"[[44 57 69 ... 84 81 82]
 [45 51 67 ... 85 81 82]
 [40 52 62 ... 89 85 84]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
3,"[[  0  10  17 ... 110 112 151]
 [  0   4  13 ... 109 115 142]
 [  0   0   8 ... 113 139 116]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
4,"[[114 116 122 ... 189 195 121]
 [110 115 125 ... 203 131 133]
 [110 118 125 ... 130 133 125]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
5,"[[ 81  78  79 ...   0   0   0]
 [ 80  81  79 ...   0   0   0]
 [109  86  87 ...   0   0   0]
 ...
 [  0   0  18 ...   0   0   0]
 [  0   0  20 ...   0   0   0]
 [  0   0  18 ...   0   0   0]]",Normal
6,"[[ 1  0  0 ... 39 23 25]
 [ 0  0  0 ... 36 21 20]
 [ 0  0  0 ... 30 22 22]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
7,"[[191 189 192 ...   4   0  68]
 [154 131 145 ...   4   0  73]
 [119 102 109 ...   2   1  74]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
8,"[[12 13 15 ... 52 48 49]
 [11 16 18 ... 47 49 47]
 [12 18 19 ... 43 48 50]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
9,"[[120 129 102 ...  38  24  12]
 [ 97 111 107 ...  33  21  12]
 [ 84 105 104 ...  51  33  18]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  3   0   0 ...   0   0   0]]",Normal
10,"[[ 0  1  3 ... 23 15 11]
 [ 0  0  3 ... 18 15  9]
 [ 0  0  0 ... 17 11  4]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
11,"[[44 87 94 ... 62 69 38]
 [40 40 78 ... 55 62 32]
 [97 53 44 ... 44 39 52]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
